length_bucket,rows,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,precision_ai,recall_ai,f1_ai,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,auroc,average_precision,support_human,support_ai,threshold
medium,2947,0.9745503902273498,0.9291308072828095,0.9819716148830073,0.9891808346213292,0.9855630413859481,0.9176470588235294,0.8690807799442897,0.8927038626609443,0.9498093368532683,0.9291308072828095,0.9391334520234462,0.9742510477781177,0.17325264904672275,0.9896963917459196,0.95898274188387,2588,359,0.5
short,2944,0.9745244565217391,0.9610637766397445,0.9866666666666667,0.9821650767316467,0.9844107254209105,0.9209558823529411,0.9399624765478424,0.9303621169916435,0.953811274509804,0.9610637766397445,0.957386421206277,0.9746254304844976,0.18483203330102269,0.9925941374080494,0.9814757986626416,2411,533,0.5
long,2942,0.9813052345343304,0.9085501733219286,0.9876856211517566,0.99235807860262,0.9900163369032492,0.8839779005524862,0.8247422680412371,0.8533333333333334,0.9358317608521214,0.9085501733219286,0.9216748351182913,0.9810032496522079,0.1302457677347439,0.9827390867209891,0.9229216255129455,2748,194,0.5
