model_family,rows,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,precision_ai,recall_ai,f1_ai,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,auroc,average_precision,support_human,support_ai,threshold
gpt,249,0.9036144578313253,0.9036144578313253,0.0,0.0,0.0,1.0,0.9036144578313253,0.9493670886075949,0.5,0.45180722891566266,0.47468354430379744,0.9493670886075949,0.28291670021419624,,,0,249,0.5
deepseek,244,0.9057377049180327,0.9057377049180327,0.0,0.0,0.0,1.0,0.9057377049180327,0.9505376344086022,0.5,0.45286885245901637,0.4752688172043011,0.9505376344086022,0.25530464687787124,,,0,244,0.5
qwen,183,0.9453551912568307,0.9453551912568307,0.0,0.0,0.0,1.0,0.9453551912568307,0.9719101123595506,0.5,0.4726775956284153,0.4859550561797753,0.9719101123595506,0.18067397343127808,,,0,183,0.5
gemini,181,0.9668508287292817,0.9668508287292817,0.0,0.0,0.0,1.0,0.9668508287292817,0.9831460674157303,0.5,0.48342541436464087,0.49157303370786515,0.9831460674157304,0.14226603010450198,,,0,181,0.5
glm,124,0.717741935483871,0.717741935483871,0.0,0.0,0.0,1.0,0.717741935483871,0.8356807511737089,0.5,0.3588709677419355,0.41784037558685444,0.8356807511737089,0.5353652707738491,,,0,124,0.5
anthropic,105,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,0.8571428571428571,0.9230769230769231,0.5,0.42857142857142855,0.46153846153846156,0.9230769230769231,0.328226562670288,,,0,105,0.5
