model_family,rows,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,precision_ai,recall_ai,f1_ai,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,auroc,average_precision,support_human,support_ai,threshold
gpt,249,0.9799196787148594,0.9799196787148594,0.0,0.0,0.0,1.0,0.9799196787148594,0.9898580121703854,0.5,0.4899598393574297,0.4949290060851927,0.9898580121703854,0.08954081995689377,,,0,249,0.5
deepseek,244,0.9877049180327869,0.9877049180327869,0.0,0.0,0.0,1.0,0.9877049180327869,0.9938144329896907,0.5,0.49385245901639346,0.49690721649484537,0.9938144329896909,0.04962313773412318,,,0,244,0.5
qwen,183,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0019341818704379492,,,0,183,0.5
gemini,181,0.9834254143646409,0.9834254143646409,0.0,0.0,0.0,1.0,0.9834254143646409,0.9916434540389972,0.5,0.49171270718232046,0.4958217270194986,0.9916434540389972,0.05650808567880844,,,0,181,0.5
glm,124,0.8870967741935484,0.8870967741935484,0.0,0.0,0.0,1.0,0.8870967741935484,0.9401709401709402,0.5,0.4435483870967742,0.4700854700854701,0.9401709401709402,0.7036259000439951,,,0,124,0.5
anthropic,105,0.9523809523809523,0.9523809523809523,0.0,0.0,0.0,1.0,0.9523809523809523,0.975609756097561,0.5,0.47619047619047616,0.4878048780487805,0.975609756097561,0.26298422865758597,,,0,105,0.5
