length_bucket,rows,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,precision_ai,recall_ai,f1_ai,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,auroc,average_precision,support_human,support_ai,threshold
medium,2947,0.9857482185273159,0.9762913683467299,0.994945567651633,0.9887944358578052,0.9918604651162791,0.9226666666666666,0.9637883008356546,0.9427792915531336,0.9588061171591498,0.9762913683467299,0.9673198783347063,0.9858814555101817,0.06642329464581945,0.99734902463911,0.9879028250184779,2588,359,0.5
short,2944,0.983016304347826,0.9815931203372908,0.9953839697859841,0.9838241393612609,0.9895702962035878,0.93048128342246,0.9793621013133208,0.9542961608775137,0.962932626604222,0.9815931203372908,0.9719332285405508,0.9831840481978821,0.07660502084166441,0.9985899523992209,0.9950203315923914,2411,533,0.5
long,2942,0.9796057104010877,0.9747107549633098,0.9977777777777778,0.980349344978166,0.9889867841409692,0.7768595041322314,0.9690721649484536,0.8623853211009175,0.8873186409550046,0.9747107549633098,0.9256860526209434,0.9806384891614417,0.08915334763176028,0.9887209441918395,0.9698816704402528,2748,194,0.5
